桌游名称,推荐人数,游戏时长(分钟),难度等级,分类,核心玩法简介,图片链接,视频链接
公会奇幻征途,2-4人,45,1.5,"派对游戏,简单卡牌",奇幻主题的策略桌游，玩家领导不同公会争夺王国霸权。通过招募英雄、建设领地、开展战争来扩张势力，每个公会拥有独特技能树，支持多种胜利条件，适合喜欢史诗级策略对抗的玩家。,公会奇幻征途.jpg,公会奇幻征途.mp4
诡镇奇谈卡牌版:基础,1-4人,120,3.57,"美式游戏,卡牌构筑,剧情冒险",克苏鲁神话背景的卡牌游戏，玩家扮演调查员探索诡异事件。基础版包含核心游戏机制和经典调查员角色，通过组建卡组、解决案件来对抗远古邪神，支持单人或多人合作模式。,诡镇奇谈卡牌版基础.jpg,诡镇奇谈卡牌版基础.mp4
花砖物语,2-4人,30,1.77,"德式游戏,成套收集",美学与策略结合的桌游，玩家扮演葡萄牙瓷砖工匠。通过拼接不同图案的瓷砖来装饰宫殿墙面，优化瓷砖组合获取高分，游戏画面精美，规则简洁但策略深度高，适合策略游戏爱好者。,花砖物语.jpg,花砖物语.mp4
来啦宝可梦,2-5人,10,1,"派对游戏,简单卡牌",宝可梦主题的欢乐桌游，适合宝可梦粉丝。玩家收集不同类型的宝可梦卡片，通过对战和交换提升实力，游戏规则简单易懂，充满童趣，支持多人互动，适合家庭和朋友聚会。,来啦宝可梦.jpg,来啦宝可梦.mp4
狼人真言,2-13人,15,1.15,"派对游戏,语言游戏",身份推理类桌游，狼人杀的创新版本。加入了真言机制，玩家可以通过提问获取信息，同时需要隐藏自己的身份，游戏节奏更快，推理元素更丰富，适合喜欢逻辑推理的玩家群体。,狼人真言.jpg,狼人真言.mp4
驴桥,3-6人,30,1,"派对游戏,语言游戏","在驴桥中,玩家使用关键词卡片来创造故事,并尝试使用这些关键词卡片作为提示以便记住其他玩家的故事。最终,他们的目标是尽可能多地记住故事",驴桥.jpg,驴桥.mp4
脑洞量表,3-9人,30,1.08,"派对游戏,语言游戏",创意问答类桌游，考验玩家的想象力和知识面。根据题目给出奇葩但合理的答案，通过评委评分决定胜负，游戏充满趣味性和创意，适合喜欢脑力激荡的玩家群体。,脑洞量表.jpg,脑洞量表.mp4
七大奇迹城邦,3-7人,60,2.29,"德式游戏,轮抽构筑",七大奇迹系列的扩展，新增城邦机制。玩家在建设奇迹的同时发展城市特色，每个城邦提供独特的能力，丰富了游戏的策略选择，适合喜欢七大奇迹基础版的玩家进一步体验。,七大奇迹城邦.jpg,七大奇迹城邦.mp4
七大奇迹舰队,3-7人,60,3,"德式游戏,轮抽构筑",七大奇迹系列的海洋主题扩展，引入海军建设机制。玩家建造舰队进行海上贸易和战争，获取额外资源和胜利点数，扩展了游戏的策略维度，增强了玩家间的互动。,七大奇迹舰队.jpg,七大奇迹舰队.mp4
七大奇迹领袖,3-7人,60,2.38,"德式游戏,轮抽构筑",七大奇迹系列的重要扩展，加入领袖角色机制。每个玩家选择不同的领袖，获得独特的技能加成，影响整个游戏的策略走向，极大提升了游戏的策略深度和 replayability。,七大奇迹领袖.jpg,七大奇迹领袖.mp4
七大奇迹穹楼,3-7人,60,2.8,"德式游戏,轮抽构筑",七大奇迹系列的最新扩展，聚焦城市建筑发展。玩家建设穹楼等宏伟建筑，获取特殊能力和胜利点数，扩展了游戏的建筑类型和策略选择，适合资深玩家体验。,七大奇迹穹楼.jpg,七大奇迹穹楼.mp4
三国杀国战,2-10人,45,2.25,"派对游戏,身份推理",三国杀团队对战版，分为魏蜀吴群四大阵营，玩家组队作战，协同配合消灭其他阵营，策略性更强。,三国杀国战.jpg,三国杀国战.mp4
王权骰铸第二季,2-6人,30,2.16,"美式游戏,骰子对抗",王权骰铸系列第二季，加入新的角色和机制，玩家通过骰子组合获取能力。,王权骰铸第二季.jpg,王权骰铸第二季.mp4
现代艺术,3-5人,45,2.28,"派对游戏,拍卖游戏",经典艺术品交易游戏，玩家作为艺术品商人，通过拍卖和交易艺术品获取利润，最后财富最多者获胜。,现代艺术.jpg,现代艺术.mp4
大搜查神话冒险,2-4人,60,2.18,"双人游戏,密室解谜",大搜查神话主题版，游戏包含了3个不同难度的剧本，希腊神话背景的《逃离哈迪斯》，老朋友坏蛋博士再次出场的《光头博士的动物变身器》以及改编自同名名著的《八十天环游地球》。,大搜查神话冒险.jpg,大搜查神话冒险.mp4
米勒山谷狼人,4-12人,30,1.31,"派对游戏,身份推理",你是谁？狼人还是镇民？每位玩家在游戏中都将得到一张秘密的身份卡，只有你自己才知道自己的身份，适合朋友聚会游玩，规则简单易上手，具有一定的策略性和娱乐性。,米勒山谷狼人.jpg,米勒山谷狼人.mp4
冷战热斗,2人,120,3.61,"双人游戏,战争模拟",历史题材的策略桌游，模拟美苏冷战时期的全球对抗。玩家分别扮演美苏阵营，通过政治、军事、经济手段争夺影响力，游戏机制深刻反映冷战历史，策略性极强，适合资深策略玩家。,冷战热斗.jpg,冷战热斗.mp4
马戏星探,2-5人,5,1.39,"派对游戏,简单卡牌",模拟经营类桌游，玩家经营马戏团并发掘明星艺人。通过招募演员、安排表演、建设设施来吸引观众，每个艺人拥有独特技能，游戏充满创意和策略性，适合全年龄段玩家。,马戏星探.jpg,马戏星探.mp4
血与刃的白蔷薇,5-10人,30,1.8,"派对游戏,身份推理",是 5-10 人快速阵营推理桌游，分白蔷薇与血刃阵营，凭身份隐藏、魔法骰子与出牌博弈，白蔷薇献祭花苞复活，血刃阻止并刺杀获胜，节奏快易上手。,血与刃的白蔷薇.jpg,血与刃的白蔷薇.mp4
并购,2-6人,60,2.49,"德式游戏,商业投资",经典经济策略游戏，玩家通过购买股票、并购公司控制市场，利用经济手段击败对手，需要较强的财务规划能力。,并购.jpg,并购.mp4
大宋百商图,2-4人,45,2,"德式游戏,商业投资",宋朝经商主题游戏，需要策略规划，玩家扮演商人在大宋疆域内贸易，建立商铺、运输货物、应对市场变化，积累财富成为首富。,大宋百商图.jpg,大宋百商图.mp4
大搜查时光冒险,2-4人,60,2.07,"双人游戏,密室解谜",大搜查时光旅行主题版，玩家穿越不同时代，解决各个历史时期的谜题，修复时间线，防止时空混乱。,大搜查时光冒险.jpg,大搜查时光冒险.mp4
王权骰铸冒险,1-4人,120,2.63,"美式游戏,合作冒险",王权骰铸冒险扩展，加入冒险任务和角色扮演元素，玩家组队冒险，探索世界，完成史诗任务。,王权骰铸冒险.jpg,王权骰铸冒险.mp4
以撒的结合,2-4人,45,2.04,"派对游戏,融合合作",基于同名游戏的桌游版，玩家控制以撒在地下室冒险，击败怪物，获取道具，探索随机生成的关卡。,以撒的结合.jpg,以撒的结合.mp4
以撒的结合：安魂曲,2-4人,45,2.04,"派对游戏,融合合作,对抗互坑",《安魂曲》扩展可支持 5-8 人，兼顾双人对战与多人聚会，玩家控制以撒在地下室冒险，击败怪物，获取道具，探索随机生成的关卡。,以撒的结合：安魂曲.jpg,以撒的结合：安魂曲.mp4
大搜查史诗冒险,2-4人,60,2.13,"双人游戏,密室解谜",大搜查系列旗舰版，包含更复杂的谜题和更长的剧情，玩家经历史诗级冒险，面对更大挑战，适合资深解谜玩家。,大搜查史诗冒险.jpg,大搜查史诗冒险.mp4
骷髅王,2-8人,20,1.74,"派对游戏,预测吃墩",一款吃墩機制的桌遊，在遊戲中，你需要預測每一輪贏得的確切墩數。在與對手競爭的同時，努力達成自己的下注……同時抓住時機讓你的對手落敗！遊戲結束時，分數最高的海盜獲勝，榮登七大洋海盜之首！,骷髅王.jpg,骷髅王.mp4
新创公司,2-7人,15,1.58,"派对游戏,简单卡牌",创业主题游戏，需要策略规划，玩家创办新创公司，开发产品，获取投资，扩大市场，最终成为成功的企业家。,新创公司.jpg,新创公司.mp4
璀璨都市,2-4人,45,1.9,"德式游戏,成套收集",城市建设策略游戏，需要策略规划，玩家规划城市布局，建设不同类型建筑，平衡各种资源和公共设施，打造最繁荣的都市。,璀璨都市.jpg,璀璨都市.mp4
诡镇奇谈卡牌版:敦威治遗产,1-4人,120,3.63,"美式游戏,卡牌构筑,剧情冒险",诡镇奇谈卡牌版的第一个大型扩展，引入敦威治地区的恐怖故事。新增大量卡牌、场景和剧情，调查员需要面对更强大的怪物和复杂的谜题，扩展了游戏的世界观和策略深度。,诡镇奇谈卡牌版敦威治遗产.jpg,诡镇奇谈卡牌版敦威治遗产.mp4
姬路城,2-4人,60,3.05,"德式游戏,引擎构筑,行动选择,资源管理",一款德式游戏，采用资源管理、工人摆放和掷骰子等机制来开展行动。在三轮游戏中，玩家将派遣自己的部族成员打理花园、保卫城堡或提升贵族的社会地位。比赛结束时，玩家将以各种方式获得胜利点数。,姬路城.jpg,姬路城.mp4
奶酪大盗,4-8人,15,1.13,"派对游戏,身份推理",一群懒惰的小老鼠们获得了一块美味香甜的奶酪，天色已晚，大家打算第二天一起享用。没想到的是，当晚一只贪吃的老鼠却偷偷藏起了奶酪，打算自己独享。第二天，老鼠们发现奶酪不见了，故事就由此开始了......,奶酪大盗.jpg,奶酪大盗.mp4
险恶疑航,5-11人,60,2.17,"派对游戏,身份推理",海盗主题策略游戏，需要策略规划，玩家控制海盗船在危险海域航行，掠夺财宝，对抗其他海盗，成为海上霸主。,险恶疑航.jpg,险恶疑航.mp4
战争之匣,2人，4人,45,2.32,"双人游戏,抽象棋类",模块化战棋游戏，玩家选择不同军队，在可变战场上战斗，通过战术和单位配合击败对手。,战争之匣.jpg,战争之匣.mp4
谍报风云,3-8人,40,1.83,"派对游戏,猜词游戏",昏暗的房间里，只有电报机的声音在滴滴答答作响。你的眼睛紧紧盯着屏幕，渴望从塞满各种信息的电文线索中找到那个足以改变一切的绝命情报——但你从没有想过，加密这个电报的人脑子里究竟在想点什么？！,谍报风云.jpg,谍报风云.mp4
诡镇奇谈卡牌版:卡尔克萨之路,1-4人,120,3.69,"美式游戏,卡牌构筑,剧情冒险",以卡尔克萨传说为背景的卡牌扩展，充满神秘主义色彩。玩家将探索被迷雾笼罩的卡尔克萨城，解开黄印的秘密，新增独特的游戏机制和强力卡牌，挑战更高难度的克苏鲁恐怖冒险。,诡镇奇谈卡牌版卡尔克萨之路.jpg,诡镇奇谈卡牌版卡尔克萨之路.mp4
战争之匣权贵,2人，4人,45,2.33,"双人游戏,抽象棋类",战争之匣扩展，加入权贵势力和新单位，增加政治元素，玩家不仅需要军事胜利，还需政治支持。,战争之匣权贵.jpg,战争之匣权贵.mp4
诺丁汉警长,3-6人,45,1.7,"派对游戏,嘴炮游戏",中世纪诺丁汉背景下，商人与警长围绕货物交易与走私展开申报、检查、谈判贿赂的博弈，互动欢乐且策略运气兼具，适合聚会游玩。,诺丁汉警长.jpg,诺丁汉警长.mp4
战争之匣围城,2人，4人,45,2.37,"双人游戏,抽象棋类",战争之匣围城主题扩展，加入围城战机制和防御工事，玩家需要制定攻城或守城策略，攻克或保卫城市。,战争之匣围城.jpg,战争之匣围城.mp4
波多黎各豪华版,2-5人,120,3.04,"德式游戏,行动选择",波多黎各升级版，优化组件和规则说明，保留核心玩法，适合初次体验该经典游戏的玩家。,波多黎各豪华版.jpg,波多黎各豪华版.mp4
工业革命伯明翰,2-4人,120,3.86,"德式游戏,行动选择,资源管理",经济策略类桌游，背景设定在18世纪英国工业革命时期。玩家通过建设工厂、发展铁路、管理资源来推动工业发展，优化生产链获取最大利润，游戏机制丰富，适合策略游戏爱好者。,工业革命伯明翰.jpg,工业革命伯明翰.mp4
骷髅牌,2-6人,5,1.11,"派对游戏,嘴炮游戏",玫瑰与骷髅是一种吹牛类游戏，考验的是玩家的机智与胆魄。每位玩家可选择一种花色代表自己，每组花色有4张牌，3张花，1张骷髅。每位玩家都有一张正面朝下的底牌，然后每位玩家轮流加一张牌——直到有人愿意挑战翻牌。,骷髅牌.jpg,骷髅牌.mp4
战争之匣夜幕,2人，4人,45,2.5,"双人游戏,抽象棋类",战争之匣夜间战斗扩展，加入夜间机制和特殊单位，玩家在夜间环境中战斗，利用夜色掩护获取优势。,战争之匣夜幕.jpg,战争之匣夜幕.mp4
波多黎各典藏版,2-5人,120,3.13,"德式游戏,行动选择",波多黎各豪华重制版，包含所有扩展内容，升级组件质量，增加新角色和策略选项，适合资深策略玩家。,波多黎各典藏版.jpg,波多黎各典藏版.mp4
重塑火星,1-5人,120,3.27,"德式游戏,引擎构筑",经典火星殖民游戏，玩家通过建设项目改造火星环境，提高温度、氧气和海洋覆盖率，使火星适合人类居住。,重塑火星.jpg,重塑火星.mp4
沙丘帝国,2-4人,120,3.08,"德式游戏,工人放置",基于沙丘小说的策略游戏，玩家控制不同势力争夺阿拉基斯星球的香料资源，通过政治、军事和经济手段获胜。,沙丘帝国.jpg,沙丘帝国.mp4
勃艮第城堡豪华版,2-4人,120,2.84,"德式游戏,骰子驱动,成套收集",玩家在中世纪勃艮第地区建设领地，通过获取土地、建造城堡、发展产业积累声望，复杂的策略选择和资源管理。,勃艮第城堡豪华版.jpg,勃艮第城堡豪华版.mp4
农场主,1-5人,120,3.46,"德式游戏,工人放置",农场主是一款有趣的桌游，适合朋友聚会游玩，规则简单易上手，具有一定的策略性和娱乐性。,农场主.jpg,农场主.mp4
恶夜杀机,2-4人,45,2.27,"美式游戏,剧情对抗",杀手和幸存者的角色各不相同，每场比赛都丰富多彩！每个角色都有自己的技能、打法和自己的模型。杀手们，尽情狩猎吧！幸存者们，发挥聪明才智，胜过对手！卷起一场血腥与恐惧的表演！,恶夜杀机.jpg,恶夜杀机.mp4
幽港迷城雄师蛮颚,1-4人,120,3.64,"美式游戏,剧情冒险","一款独特奇幻世界下的战术战斗游戏,采用纯合作战役机制。各位玩家扮演身经百战的佣兵,需要共同经历一场充满选择、挑战、反转的战役。每一个剧本都会和全自动化敌人进行流畅的策略战斗,战斗过程无需骰子。在正确的时机使用正确的能力是决定胜败的关键。",幽港迷城雄师蛮颚.jpg,幽港迷城雄师蛮颚.mp4
瘟疫危机,2-4人,45,2.39,"美式游戏,合作冒险",一些致命的疾病同时在世界各地爆发了！玩家们扮演的角色是抗病专家，任务是治疗疾病高发地区的人们并在四种瘟疫失控之前研究出对应的治疗方法。,瘟疫危机.jpg,瘟疫危机.mp4
瘟疫危机传承第一季,2-4人,60,2.83,"美式游戏,合作冒险",独特而震撼的合作游戏，适合2-4人参与。有别于一般桌游，你在《瘟疫危机传承》中所作的决定，有些是会影响后续的游戏。更厉害的是，局面总跟你对著干。跟病菌交战的十二个月期间，你会拆开密封的盒子、揭露隐藏的资讯和发现不为人知的秘密。,瘟疫危机传承第一季.jpg,瘟疫危机传承第一季.mp4
指尖平衡,2-8人,5,1,"派对游戏,欢乐搞笑",很快速简单的动手游戏，多人聚会轻松破冰。,指尖平衡.jpg,指尖平衡.mp4
无间风云,4-8人,20,1.26,"派对游戏,身份推理",每个人都不知道对方的角色，黑帮老大跟贪污警察是同一阵营，探员跟正直警察另一个阵营，游戏中玩家需要用口头试探，直接调查对方，使用装备或甚至直接拔枪相向来求取自己阵营的胜利！,无间风云.jpg,无间风云.mp4
行动代号,2-8人,15,1.26,"派对游戏,猜词游戏",一款比拼团队默契、考验语言表达的聚会桌游。游戏开始前，会将参与玩家分成人数和水平大体相当的两支队伍，并各自推选出一名队长。同时，桌面上会展示 25 张仅含一个词汇但内容各不相同的卡牌。,行动代号.jpg,行动代号.mp4
外交,2-7人,360,2.32,"派对游戏,嘴炮游戏",零运气经典战略桌游，一战欧洲版图博弈，全靠谈判结盟、心机背刺，凭纯谋略吞并势力决胜全局。,外交.jpg,外交.mp4
魔戒中洲对决,2人,30,2.07,"双人游戏,成套收集",双人战略桌游，沿用《七大奇迹对决》卡牌机制，分魔戒同盟与索隆阵营，以 3 种方式决胜：护送弗罗多抵末日火山、拉拢 6 种族联盟、占领 7 个中洲领地，30-45 分钟快节奏史诗博弈。,魔戒中洲对决.jpg,魔戒中洲对决.mp4
囚徒之夜,3-6人,10,1.2,"派对游戏,身份推理",一款将身份推理、谎言博弈与动态信息战融合的嘴炮聚会游戏。玩家们化身被关押在「罪恶之城」的囚徒，其中暗藏一名伪装成囚犯的狱警卧底。,囚徒之夜.jpg,囚徒之夜.mp4
脑洞量表欲语还休,3-9人,30,1.08,"派对游戏,欢乐搞笑",欢乐聚会猜词桌游，靠含蓄隐晦描述拿捏分寸，趣味打分互动，脑洞尬聊轻松破冰。,脑洞量表欲语还休.jpg,脑洞量表欲语还休.mp4
字字转机脸红心跳,2-6人,5,1,"派对游戏,欢乐搞笑",趣味文字互动桌游，巧用谐音梗、文字接龙玩暧昧脑洞，轻松尬聊互动，超适合聚会升温氛围。,字字转机脸红心跳.jpg,字字转机脸红心跳.mp4
爆炸猫18+,2-5人,15,1.08,"派对游戏,互坑对抗",幽默风格卡牌游戏，玩家轮流抽牌，抽到爆炸猫需用防御牌保命，通过各种功能牌陷害对手，最后存活者获胜。,爆炸猫18+.jpg,爆炸猫18+.mp4
绘拼绘色,2-7人,15,1.1,"派对游戏,绘画游戏",欢乐绘画拼接聚会桌游，玩家拼色作画、脑洞共创图案，趣味猜图互动，轻松破冰氛围感十足。,绘拼绘色.jpg,绘拼绘色.mp4
猜字解底,2-6人,15,1.5,"派对游戏,猜词游戏",一款以汉语组词逻辑为核心的聚会猜词游戏。每位玩家会获得一个隐藏字，并且用组词的方式给其他玩家自己手中汉字的提示。所有隐藏字都能跟底牌组成两字汉语词语，努力猜出底牌和其他玩家的隐藏字，获得最多的分数！,猜字解底.jpg,猜字解底.mp4
出神入画,2-8人,10,1.1,"派对游戏,绘画游戏",在每一轮开始时，每个玩家都得到一张上面有一个单词的卡片，并必须在他们的棋盘上画出它-但只能在线条上画。实际上，他们必须在线条中找到图像。,出神入画.jpg,出神入画.mp4
河狸建水坝,2-4人,5,1.1,"派对游戏,欢乐搞笑",轻策建造益智桌游，玩家规划河道、搭建水坝囤积资源，比拼布局谋略，趣味模拟筑坝博弈。,河狸建水坝.jpg,河狸建水坝.mp4
政变疑云,2-6人,15,1.42,"派对游戏,嘴炮游戏",多人阵营推理嘴炮桌游，暗藏身份密谋算计，靠话术博弈结盟背刺，搅动局势夺权决胜，心机欢乐氛围感十足。,政变疑云.jpg,政变疑云.mp4
政变疑云扩充,2-10人,15,1.6,"派对游戏,嘴炮游戏",多人阵营推理嘴炮桌游，暗藏身份密谋算计，靠话术博弈结盟背刺，搅动局势夺权决胜，心机欢乐氛围感十足。,政变疑云扩充.jpg,政变疑云扩充.mp4
狼尔街风云,3-11人,40,1.25,"派对游戏,嘴炮游戏",多人阵营推理嘴炮桌游，欢乐投机桌游，模拟股市操盘套利，低买高卖互坑算计，比拼财富决出胜负。,狼尔街风云.jpg,狼尔街风云.mp4
RADLANDS,2人,30,2.26,"双人游戏,卡牌博弈",双人卡牌对战，末世争夺水源，卡牌双用、资源紧张，攻防博弈紧凑烧脑。,RADLANDS.jpg,RADLANDS.mp4
疯狂斗牛,2-4人,15,1,"派对游戏,赌狗游戏",欢乐反应桌游，比拼运气斗牛竞技，趣味互坑节奏轻快，多人聚会轻松破冰。,疯狂斗牛.jpg,疯狂斗牛.mp4
席德梅尔的文明：新的黎明,2-4人,120,3.2,"德式游戏,区域控制,行动选择",战略版图游戏，其中两到四名玩家扮演历史上最令人难忘的帝国的统治者。在游戏的过程中，玩家将扩张他们的领域，获得新的技术，并建立许多人类最大的奇迹。最后，一个国家将超越所有其他国家，在历史上留下不可磨灭的印记。,席德梅尔的文明：新的黎明.jpg,席德梅尔的文明：新的黎明.mp4
矮人掘金2,2-12人,45,1.54,"派对游戏,身份推理",無數的矮人在辛勤地挖掘隧道，只為了尋找地下金礦；心懷不軌的破壞者，也在持之以恆地阻撓掘金事業。,矮人掘金2.jpg,矮人掘金2.mp4
米勒山谷狼人特殊角色,5-12人,60,1.51,"派对游戏,身份推理",新增演员、占卜师、守卫等角色。,米勒山谷狼人特殊角色.jpg,米勒山谷狼人特殊角色.mp4
米勒山谷狼人新月,5-12人,60,1.51,"派对游戏,身份推理",新增36张事件卡，来增加角色不同的体验。,米勒山谷狼人新月.jpg,米勒山谷狼人新月.mp4
只言片语迪士尼,3-6人,30,1.1,"派对游戏,猜词游戏",每轮由一名玩家讲故事，从手中的六张牌中选择一张，然后根据该牌的图像编一句话并大声说出来，同时不向其他玩家展示该牌。然后，其他每位玩家选择手中最符合句子的纸牌，并将所选纸牌交给讲故事的玩家，同时不给其他人看。,只言片语迪士尼.jpg,只言片语迪士尼.mp4
领国者,1-4人,120,4.26,"德式游戏,卡牌驱动,经济模拟",一款 2-4 人卡牌驱动的重度不对称政治经济模拟德式策略桌游，玩家扮演工人、中产、资本或政府阶级，通过阶级专属行动与政策博弈争夺国家主导权。,领国者.jpg,领国者.mp4
暗影奇袭,4-8人,15,1.67,"派对游戏,互坑对抗",身份隐藏 + 阵营对抗聚会桌游，玩家分属暗影、猎人、市民三方，在雾之都模块化版图上移动、攻击、推理身份，暗影与猎人互灭为胜，市民完成专属使命即可获胜。,暗影奇袭.jpg,暗影奇袭.mp4
诡镇奇谈卡牌版第二季,1-4人,120,3.5,"美式游戏,卡牌构筑,剧情冒险",FFG 推出的克苏鲁主题合作 LCG 新核心套组，含全新 3 关入门战役《灰烬同袍会》、5 位新调查员，故事设定在阿卡姆毁灭性灾难数月后，与阿米蒂奇博士并肩挫败灰烬同袍会阴谋,诡镇奇谈卡牌版第二季.jpg,诡镇奇谈卡牌版第二季.mp4
画物语：回忆,3-8人,45,1.19,"派对游戏,猜词游戏",全新主题卡牌，玩家将化身为说书人与猜谜者，作为说书人你需要通过灵活的思维，丰富的想象力来形容你选择的卡牌图画，而猜谜人则负责在众多的卡牌中找到说书人所真正打出的那张卡牌。,画物语：回忆.jpg,画物语：回忆.mp4
画物语：探寻,3-8人,45,1.19,"派对游戏,猜词游戏",全新主题卡牌，玩家将化身为说书人与猜谜者，作为说书人你需要通过灵活的思维，丰富的想象力来形容你选择的卡牌图画，而猜谜人则负责在众多的卡牌中找到说书人所真正打出的那张卡牌。,画物语：探寻.jpg,画物语：探寻.mp4
画物语：缘起,3-8人,45,1.19,"派对游戏,猜词游戏",全新主题卡牌，玩家将化身为说书人与猜谜者，作为说书人你需要通过灵活的思维，丰富的想象力来形容你选择的卡牌图画，而猜谜人则负责在众多的卡牌中找到说书人所真正打出的那张卡牌。,画物语：缘起.jpg,画物语：缘起.mp4
画物语：旅行,3-8人,45,1.19,"派对游戏,猜词游戏",全新主题卡牌，玩家将化身为说书人与猜谜者，作为说书人你需要通过灵活的思维，丰富的想象力来形容你选择的卡牌图画，而猜谜人则负责在众多的卡牌中找到说书人所真正打出的那张卡牌。,画物语：旅行.jpg,画物语：旅行.mp4
画物语：和谐,3-8人,45,1.19,"派对游戏,猜词游戏",全新主题卡牌，玩家将化身为说书人与猜谜者，作为说书人你需要通过灵活的思维，丰富的想象力来形容你选择的卡牌图画，而猜谜人则负责在众多的卡牌中找到说书人所真正打出的那张卡牌。,画物语：和谐.jpg,画物语：和谐.mp4
画物语：镜像,3-8人,45,1.19,"派对游戏,猜词游戏",全新主题卡牌，玩家将化身为说书人与猜谜者，作为说书人你需要通过灵活的思维，丰富的想象力来形容你选择的卡牌图画，而猜谜人则负责在众多的卡牌中找到说书人所真正打出的那张卡牌。,画物语：镜像.jpg,画物语：镜像.mp4
画物语：白日梦,3-8人,45,1.19,"派对游戏,猜词游戏",全新主题卡牌，玩家将化身为说书人与猜谜者，作为说书人你需要通过灵活的思维，丰富的想象力来形容你选择的卡牌图画，而猜谜人则负责在众多的卡牌中找到说书人所真正打出的那张卡牌。,画物语：白日梦.jpg,画物语：白日梦.mp4
画物语：启迪,3-8人,45,1.19,"派对游戏,猜词游戏",全新主题卡牌，玩家将化身为说书人与猜谜者，作为说书人你需要通过灵活的思维，丰富的想象力来形容你选择的卡牌图画，而猜谜人则负责在众多的卡牌中找到说书人所真正打出的那张卡牌。,画物语：启迪.jpg,画物语：启迪.mp4
画物语：周年,3-8人,45,1.19,"派对游戏,猜词游戏",全新主题卡牌，玩家将化身为说书人与猜谜者，作为说书人你需要通过灵活的思维，丰富的想象力来形容你选择的卡牌图画，而猜谜人则负责在众多的卡牌中找到说书人所真正打出的那张卡牌。,画物语：周年.jpg,画物语：周年.mp4
